Month,Is_Christmas,Since_Last_Christmas,Next_Christmas,Is_Thanksgiving,Since_Last_Thanksgiving,Next_Thanksgiving,Is_Chinese_NewYear,Since_Last_Chinese_NewYear,Next_Chinese_NewYear,Is_Chinese_GoldenWeek,Since_Last_Chinese_GoldenWeek,Next_Chinese_GoldenWeek,Is_AkshayaTritiya,Since_Last_AkshayaTritiya,Next_AkshayaTritiya,Is_Diwali,Since_Last_Diwali,Next_Diwali,Is_DhanTeras,Since_Last_DhanTeras,Next_DhanTeras,Is_KarwaChauth,Since_Last_KarwaChauth,Next_KarwaChauth,Is_SharadNavratri,Since_Last_SharadNavratri,Next_SharadNavratri,Is_ChaitraNavratri,Since_Last_ChaitraNavratri,Next_ChaitraNavratri,Is_EidAlFitr,Since_Last_EidAlFitr,Next_EidAlFitr,Is_EidAlAdha,Since_Last_EidAlAdha,Next_EidAlAdha,Is_Valentines,Since_Last_Valentines,Next_Valentines,Is_ChineseValentines,Since_Last_ChineseValentines,Next_ChineseValentines,Is_MothersDay,Since_Last_MothersDay,Next_MothersDay,Is_Vicenzaoro_Show,Since_Last_Vicenzaoro_Show,Is_HKIDG_Show,Since_Last_HKIDG_Show,Is_JCK_Show,Since_Last_JCK_Show,Is_IIJS_Show,Since_Last_IIJS_Show,Is_JGWorld_Show,Since_Last_JGWorld_Show,Is_Vicenzaoro_September_Show,Is_IIJS_Signature_Show,Is_IIJS_Tritiya_Show,Is_JGAsia_Show,Is_FedRateChange,Since_Last_FedRateChange,FedRateChange_bps,FedRate,Is_RBIRateChange,Since_Last_RBIRateChange,RBIRateChange_bps,RBIRate,ExchRate__USD_INR,ExchRate__USD_CNY,ExchRate__CNY_INR,ExchRate__EUR_INR,ExchRate__100JPY_INR,ExchRate__GBP_INR,MonthlyMarketReturn__US__SnP500,MonthlyMarketReturn__IND__NIFTY50,MonthlyMarketReturn__CHN__SSE,MonthlyMarketReturn__JPN__Nikkei225,MonthlyMarketReturn__UK__FTSE100,MonthlyReturn__Global_Jewellery_n_Luxury_Index,MonthlyReturn__Indian_Jewellery_n_Luxury_Index,MonthlyMarketReturn__RUS__MOEX,ExchRate__USD_RUB,ExchRate__INR_RUB,MonthlyMarketReturn__Gold,MonthlyMarketReturn__Silver
202307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,25,5.25,0,4,0,6.5,82.04,7.25,11.32,89.21,56.78,104.2,6.47,3.53,-0.08,7.45,1.15,3.1,4.3,2.88,88.79,1.08,-2.2,-3.4
202308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,5.25,0,5,0,6.5,82.25,7.14,11.52,91.13,58.1,105.8,3.11,2.94,2.78,-0.05,2.23,2.5,1.9,9.84,92.03,1.11,2.4,8.6
202309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,5.25,0,6,0,6.5,82.71,7.29,11.35,89.32,56.55,104.9,-1.77,-2.53,-5.2,-1.67,-3.38,-7.4,-2.5,4.95,96.1,1.16,-1.3,-0.6
202310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,5.25,0,7,0,6.5,83.04,7.3,11.38,87.18,55.8,101.5,-4.87,2,-0.3,-2.32,2.27,-6.2,5.8,-2.89,97.97,1.18,-4.7,-9.5
202311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,5.25,0,8,0,6.5,83.24,7.31,11.39,88.04,55.5,101.1,-2.2,-2.84,-2.95,-3.14,-3.76,-4.8,2.2,2.2,93.4,1.12,7.3,3.2
202312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,5.25,0,9,0,6.5,83.35,7.14,11.67,90.77,56.2,105.15,8.92,5.52,0.36,8.52,1.8,9.1,8.7,-1.15,89.34,1.07,3.2,10.5
202401,0,1,11,0,2,10,0,11,1,0,3,9,0,8,4,0,2,10,0,1,9,0,3,9,0,3,9,0,10,3,0,8,3,0,6,5,0,11,1,0,5,7,0,8,4,1,12,0,10,0,7,0,5,0,4,0,1,0,0,0,5,0,5.25,0,10,0,6.5,83.16,7.1,11.71,90.04,58.28,105.82,4.42,7.94,-1.81,-0.07,3.75,3.9,6.4,-2.35,89.22,1.09,1.3,-0.7
202402,0,2,10,0,3,9,1,12,0,0,4,8,0,9,3,0,3,9,0,2,8,0,4,8,0,4,8,0,11,2,0,9,2,0,7,4,1,12,0,0,6,6,0,9,3,0,1,1,11,0,8,0,6,0,5,0,0,0,0,0,6,0,5.25,0,11,0,6.5,83.1,7.17,11.59,90.51,55.31,105.62,1.59,-0.03,-6.27,8.44,-1.33,-2.3,4.1,4.45,89.6,1.08,-1.2,-3.8
202403,0,3,9,0,4,8,0,1,10,0,5,7,0,10,2,0,4,8,0,3,7,0,5,7,0,5,7,0,12,1,0,10,1,0,8,3,0,1,11,0,7,5,0,10,2,0,2,0,1,0,9,0,7,0,6,0,0,0,0,0,7,0,5.25,0,12,0,6.5,82.91,7.19,11.53,88.46,54.8,104.85,5.17,1.23,8.13,7.94,0,6.1,2.8,1.18,91.37,1.1,0.2,-1.2
202404,0,4,8,0,5,7,0,2,9,0,6,6,0,11,1,0,5,7,0,4,6,0,6,6,0,6,6,1,13,0,1,11,0,0,9,2,0,2,10,0,8,4,0,11,1,0,3,0,2,0,10,0,8,0,7,0,0,1,0,0,8,0,5.25,0,13,0,6.5,83.39,7.22,11.55,90.17,55.1,105.2,3.1,1.57,0.86,3.07,4.23,1.8,-3.2,2.28,92.57,1.11,9.1,10.1
