,Date_in_proper_format,RoughType,RoughSize,PolishSize
0,2024-01-01,COL(YB),2-4CT,0.70-1.699
1,2024-01-01,COL(YB),2-4CT,0.30-0.499
2,2024-01-01,COL(YB),2-4CT,1.70 Up
3,2024-01-01,COL(YB),2-4CT,0.50-0.699
4,2024-01-01,COL(YB),2-4CT,0.30 Dn
5,2024-01-01,COL(YB),5-10CT,0.70-1.699
6,2024-01-01,COL(YB),5-10CT,0.30-0.499
7,2024-01-01,COL(YB),5-10CT,1.70 Up
8,2024-01-01,COL(YB),5-10CT,0.50-0.699
9,2024-01-01,COL(YB),5-10CT,0.30 Dn
10,2024-01-01,COL(YB),10.8,0.70-1.699
11,2024-01-01,COL(YB),10.8,0.30-0.499
12,2024-01-01,COL(YB),10.8,1.70 Up
13,2024-01-01,COL(YB),10.8,0.50-0.699
14,2024-01-01,COL(YB),10.8,0.30 Dn
15,2024-01-01,COL(YB),-3Grs,0.70-1.699
16,2024-01-01,COL(YB),-3Grs,0.30-0.499
17,2024-01-01,COL(YB),-3Grs,1.70 Up
18,2024-01-01,COL(YB),-3Grs,0.50-0.699
19,2024-01-01,COL(YB),-3Grs,0.30 Dn
20,2024-01-01,COL(YB),4-6Grs,0.70-1.699
21,2024-01-01,COL(YB),4-6Grs,0.30-0.499
22,2024-01-01,COL(YB),4-6Grs,1.70 Up
23,2024-01-01,COL(YB),4-6Grs,0.50-0.699
24,2024-01-01,COL(YB),4-6Grs,0.30 Dn
25,2024-01-01,MKBL,2-4CT,0.70-1.699
26,2024-01-01,MKBL,2-4CT,0.30-0.499
27,2024-01-01,MKBL,2-4CT,1.70 Up
28,2024-01-01,MKBL,2-4CT,0.50-0.699
29,2024-01-01,MKBL,2-4CT,0.30 Dn
30,2024-01-01,MKBL,5-10CT,0.70-1.699
31,2024-01-01,MKBL,5-10CT,0.30-0.499
32,2024-01-01,MKBL,5-10CT,1.70 Up
33,2024-01-01,MKBL,5-10CT,0.50-0.699
34,2024-01-01,MKBL,5-10CT,0.30 Dn
35,2024-01-01,MKBL,10.8,0.70-1.699
36,2024-01-01,MKBL,10.8,0.30-0.499
37,2024-01-01,MKBL,10.8,1.70 Up
38,2024-01-01,MKBL,10.8,0.50-0.699
39,2024-01-01,MKBL,10.8,0.30 Dn
40,2024-01-01,MKBL,-3Grs,0.70-1.699
41,2024-01-01,MKBL,-3Grs,0.30-0.499
42,2024-01-01,MKBL,-3Grs,1.70 Up
43,2024-01-01,MKBL,-3Grs,0.50-0.699
44,2024-01-01,MKBL,-3Grs,0.30 Dn
45,2024-01-01,MKBL,4-6Grs,0.70-1.699
46,2024-01-01,MKBL,4-6Grs,0.30-0.499
47,2024-01-01,MKBL,4-6Grs,1.70 Up
48,2024-01-01,MKBL,4-6Grs,0.50-0.699
49,2024-01-01,MKBL,4-6Grs,0.30 Dn
50,2024-01-01,CLIV,2-4CT,0.70-1.699
51,2024-01-01,CLIV,2-4CT,0.30-0.499
52,2024-01-01,CLIV,2-4CT,1.70 Up
53,2024-01-01,CLIV,2-4CT,0.50-0.699
54,2024-01-01,CLIV,2-4CT,0.30 Dn
55,2024-01-01,CLIV,5-10CT,0.70-1.699
56,2024-01-01,CLIV,5-10CT,0.30-0.499
57,2024-01-01,CLIV,5-10CT,1.70 Up
58,2024-01-01,CLIV,5-10CT,0.50-0.699
59,2024-01-01,CLIV,5-10CT,0.30 Dn
60,2024-01-01,CLIV,10.8,0.70-1.699
61,2024-01-01,CLIV,10.8,0.30-0.499
62,2024-01-01,CLIV,10.8,1.70 Up
63,2024-01-01,CLIV,10.8,0.50-0.699
64,2024-01-01,CLIV,10.8,0.30 Dn
65,2024-01-01,CLIV,-3Grs,0.70-1.699
66,2024-01-01,CLIV,-3Grs,0.30-0.499
67,2024-01-01,CLIV,-3Grs,1.70 Up
68,2024-01-01,CLIV,-3Grs,0.50-0.699
69,2024-01-01,CLIV,-3Grs,0.30 Dn
70,2024-01-01,CLIV,4-6Grs,0.70-1.699
71,2024-01-01,CLIV,4-6Grs,0.30-0.499
72,2024-01-01,CLIV,4-6Grs,1.70 Up
73,2024-01-01,CLIV,4-6Grs,0.50-0.699
74,2024-01-01,CLIV,4-6Grs,0.30 Dn
75,2024-01-01,SINGLE,2-4CT,0.70-1.699
76,2024-01-01,SINGLE,2-4CT,0.30-0.499
77,2024-01-01,SINGLE,2-4CT,1.70 Up
78,2024-01-01,SINGLE,2-4CT,0.50-0.699
79,2024-01-01,SINGLE,2-4CT,0.30 Dn
80,2024-01-01,SINGLE,5-10CT,0.70-1.699
81,2024-01-01,SINGLE,5-10CT,0.30-0.499
82,2024-01-01,SINGLE,5-10CT,1.70 Up
83,2024-01-01,SINGLE,5-10CT,0.50-0.699
84,2024-01-01,SINGLE,5-10CT,0.30 Dn
85,2024-01-01,SINGLE,10.8,0.70-1.699
86,2024-01-01,SINGLE,10.8,0.30-0.499
87,2024-01-01,SINGLE,10.8,1.70 Up
88,2024-01-01,SINGLE,10.8,0.50-0.699
89,2024-01-01,SINGLE,10.8,0.30 Dn
90,2024-01-01,SINGLE,-3Grs,0.70-1.699
91,2024-01-01,SINGLE,-3Grs,0.30-0.499
92,2024-01-01,SINGLE,-3Grs,1.70 Up
93,2024-01-01,SINGLE,-3Grs,0.50-0.699
94,2024-01-01,SINGLE,-3Grs,0.30 Dn
95,2024-01-01,SINGLE,4-6Grs,0.70-1.699
96,2024-01-01,SINGLE,4-6Grs,0.30-0.499
97,2024-01-01,SINGLE,4-6Grs,1.70 Up
98,2024-01-01,SINGLE,4-6Grs,0.50-0.699
99,2024-01-01,SINGLE,4-6Grs,0.30 Dn
100,2024-01-01,M.CLIV,2-4CT,0.70-1.699
101,2024-01-01,M.CLIV,2-4CT,0.30-0.499
102,2024-01-01,M.CLIV,2-4CT,1.70 Up
